stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
41194,"Gare Part  Dieu",45.76013598796,4.862040055391,0,S5540,1
41195,"Vaulx La Soie",45.76099996159,4.92208395013,0,S5564,1
41196,"Vaulx La Soie",45.761066024456,4.922056961727,0,S5564,1
41197,"Meyzieu Z.I",45.767771806771,5.031419768263,0,S5568,1
41198,"Meyzieu Z.I",45.7677503534,5.031597250536,0,S5568,1
41199,"Aeroport St Exupery",45.72264970086,5.076471778612,0,S33100,1
41375,"Saint Exupery Repli",45.727054969877,5.077076680603,0,S33120,2
S5540,"Gare Part-Dieu Villette",45.76066914965971,4.862257286885144,1,"",0
S5564,"Vaulx-en-Velin La Soie",45.7611250840729,4.9213352797200995,1,"",0
S5568,"Meyzieu Z.i.",45.767935549155844,5.031192937251833,1,"",0
S33120,"Saint Exupery Repli",45.727,5.077,1,"",0
S33100,"Aeroport St Exupery",45.7226,5.0764,1,"",0
